article_topic,sentence
Football obsessive Neto on his hunger to succeed at Chelsea,"""She will say to me, 'You just live for football."
Football obsessive Neto on his hunger to succeed at Chelsea,"I'm okay with that, I love the way you play it, but sometimes we just have to take your head away from football!'"
Football obsessive Neto on his hunger to succeed at Chelsea,"When I am with [former Wolves team-mates] Ruben and Diogo Jota when we are away with the national team, it is the same, we are always speaking about football."""
Football obsessive Neto on his hunger to succeed at Chelsea,"Neto is happy to carry the tag of a football obsessive with a winning mentality, though."
Football obsessive Neto on his hunger to succeed at Chelsea,"If this Chelsea team is to recapture former glories, it is a mindset that could serve them well for years to come."
Man Utd make worst Premier League start after stale Chelsea draw,"Old TraffordAttendance:Attendance73,813."
Man Utd make worst Premier League start after stale Chelsea draw,Manchester United's new-manager bounce fell flat as they shared the points in a stale 1-1 draw with Chelsea at Old Trafford that confirmed their worst-ever start to a Premier League season.
Man Utd make worst Premier League start after stale Chelsea draw,"Ruud van Nistelrooy, United's interim boss until Ruben Amorim arrives on November 11, was unable to help his side replicate their free-scoring performance from Wednesday's 5-2 Carabao Cup win over a weakened Leicester."
Man Utd make worst Premier League start after stale Chelsea draw,"Chelsea, now without victory at Old Trafford in the league on their last 12 visits, were the better side for most of the game but allowed United to get in front through Bruno Fernandes' second-half penalty after Rasmus Hojlund was brought down by Robert Sanchez."
Man Utd make worst Premier League start after stale Chelsea draw,"Stunned into action, Chelsea's Moises Caicedo, the best player on the pitch in a game sorely lacking quality, clapped back four minutes later with a sweetly-struck volley that beat Andre Onana through the legs of Mykhailo Murdyk."
Man Utd make worst Premier League start after stale Chelsea draw,"Lisandro Martinez rode his luck in the closing stages with a knee-high challenge on Cole Palmer, which was reviewed by the Video Assistant referee, but deemed not worthy of a sending off, contrary to the opinion of Gary Neville."
Man Utd make worst Premier League start after stale Chelsea draw,"""Martinez is lucky."
Man Utd make worst Premier League start after stale Chelsea draw,"I think it is a red."""
Man Utd make worst Premier League start after stale Chelsea draw,Chelsea boss Enzo Maresca was in full agreement.
Man Utd make worst Premier League start after stale Chelsea draw,"""When you go for a player or the legs, there is no doubt about the decision."
Man Utd make worst Premier League start after stale Chelsea draw,"I think it is quite clear it is a red,"" he said after the game."
Man Utd make worst Premier League start after stale Chelsea draw,The visitors always felt more likely winners but failed to put United away.
Man Utd make worst Premier League start after stale Chelsea draw,"Noni Madueke headed onto a post early in the first half from close range, although, if the ball had gone in it likely would have been pulled back for a push in the back on Casemiro."
Man Utd make worst Premier League start after stale Chelsea draw,"Marcus Rashford closed the first half by striking the frame of the goal on the volley after a pass from Fernandes, who along with Alejandro Garnacho spurned decent chances late in the second half."
Man Utd make worst Premier League start after stale Chelsea draw,Perhaps the most perplexing aspect of the game was Chelsea's sloppiness against a United side they are far better than on the evidence of this season.
Man Utd make worst Premier League start after stale Chelsea draw,"The point does, however, take them above title-chasing Arsenal on goal difference after the Gunners' defeat at Newcastle."
Man Utd make worst Premier League start after stale Chelsea draw,"Van Nistelrooy, limited in his options because of injury, only made one change from Erik ten Hag's last game before his sacking and, unsurprisingly, the outcome was more of the same from a side that remain 13th in the table, with three wins from their opening 10 games."
Man Utd make worst Premier League start after stale Chelsea draw,"""Ruben Amorim should have signed a longer contract."
Man Utd make worst Premier League start after stale Chelsea draw,There is a long way back for this team.
Man Utd make worst Premier League start after stale Chelsea draw,"""This is an average Manchester United team."
Man Utd make worst Premier League start after stale Chelsea draw,All the stats back that up.
Man Utd make worst Premier League start after stale Chelsea draw,They are hit and miss - you never know which team will turn up.
Man Utd make worst Premier League start after stale Chelsea draw,Not good.
Man Utd make worst Premier League start after stale Chelsea draw,"""'Boring' seems a bit strong."
Man Utd make worst Premier League start after stale Chelsea draw,But they lack conviction.
Man Utd make worst Premier League start after stale Chelsea draw,It's really disappointing.
Man Utd make worst Premier League start after stale Chelsea draw,It's so flat.
Man Utd make worst Premier League start after stale Chelsea draw,"""This team is way off getting back in the top four."
Man Utd make worst Premier League start after stale Chelsea draw,"""You look at certain individuals and they think they're better than they are."
Man Utd make worst Premier League start after stale Chelsea draw,United are average at everything.
Man Utd make worst Premier League start after stale Chelsea draw,There is nothing special about them.
Man Utd make worst Premier League start after stale Chelsea draw,It was very quiet at Old Trafford.
Man Utd make worst Premier League start after stale Chelsea draw,"I was glad when the referee blew the final whistle."""
Man Utd make worst Premier League start after stale Chelsea draw,"""Slightly disappointed that we didn't take the win to be honest."
Man Utd make worst Premier League start after stale Chelsea draw,We had the better of the chances in the game.
Man Utd make worst Premier League start after stale Chelsea draw,"""Overall, I think the performance of the players was fantastic."
Man Utd make worst Premier League start after stale Chelsea draw,"They left their all out there on the pitch and in the end, of course, we settle for a draw."
Man Utd make worst Premier League start after stale Chelsea draw,"""[When we scored] it was a great moment, when you heard Old Trafford explode and in such an important moment."
Man Utd make worst Premier League start after stale Chelsea draw,Bruno did really well taking the penalty and then the emotions come out.
Man Utd make worst Premier League start after stale Chelsea draw,"""I have enjoyed every second of it."
Man Utd make worst Premier League start after stale Chelsea draw,I am here to help and [after these two games] even more.
Man Utd make worst Premier League start after stale Chelsea draw,"And we will all get behind the new manager and hope the club grows."""
Man Utd make worst Premier League start after stale Chelsea draw,"""We knew that it would be a difficult game."
Man Utd make worst Premier League start after stale Chelsea draw,"For a big part of the game, we controlled it quite well, but in the last 10 minutes we lost a bit of balance through our desire to win the game."
Man Utd make worst Premier League start after stale Chelsea draw,"""Overall, they were quite similar [under Van Nistelrooy compared to Ten Hag] we expected them to be a bit more aggressive."
Man Utd make worst Premier League start after stale Chelsea draw,"Overall, the game was quite clear."
Man Utd make worst Premier League start after stale Chelsea draw,"""In this stadium, against this team, when you go down it is difficult to come back and we did that."
Man Utd make worst Premier League start after stale Chelsea draw,"And then we tried to win the game and lost a bit of balance."""
Man Utd make worst Premier League start after stale Chelsea draw,"Asked about player of the match, Caicedo, Maresca added: ""Since we arrived, he is doing fantastic."
Man Utd make worst Premier League start after stale Chelsea draw,We are very happy with him.
Man Utd make worst Premier League start after stale Chelsea draw,"Asked about Martinez's potential red-card challenge on Cole Palmer, Maresca said in his press conference: ""They [TV] showed me [the challenge] before the press conference,"" Maresca told reporters."
Man Utd make worst Premier League start after stale Chelsea draw,"""I think it's quite clear for all of us and they [officials] took a different decision."
Man Utd make worst Premier League start after stale Chelsea draw,"""When there is no intention to go for ball and you only go for the player, it's a red."
Man Utd make worst Premier League start after stale Chelsea draw,"He [referee] didn't say nothing, but when you go for a player or the legs, there is no doubt about the decision."
Man Utd make worst Premier League start after stale Chelsea draw,"I think it is quite clear it is a red."""
Man Utd make worst Premier League start after stale Chelsea draw,"Enzo Maresca, the Chelsea boss, will no doubt come away from Old Trafford feeling like this was an opportunity missed."
Man Utd make worst Premier League start after stale Chelsea draw,"Seeing Arsenal and Man City lose on Saturday, this was the moment for Chelsea to capitalise and close the gap on the title chasers."
Man Utd make worst Premier League start after stale Chelsea draw,"Manchester United hardly made life difficult for Chelsea at Old Trafford, either."
Man Utd make worst Premier League start after stale Chelsea draw,The game was there for the taking and sloppy passes from Casemiro and Manuel Ugarte in midfield only offered further encouragement to the Premier League's third-highest scorers.
Man Utd make worst Premier League start after stale Chelsea draw,"Chelsea had been considered ahead of schedule on the early showings of this season, so soon after the arrival of their new head coach, but this performance gave us a bit of a reality check about where they truly are in the picture at the top of the table."
Man Utd make worst Premier League start after stale Chelsea draw,"Undoubtedly, the Blues are firmly in the hunt for best of the rest, below the top three clubs in Manchester City, Arsenal and Liverpool, but with inconsistencies still being worked out of the team, it feels like a stretch to say that they can keep up with those sides right now."
Man Utd make worst Premier League start after stale Chelsea draw,"There is plenty to be excited about for those of a Chelsea persuasion, though, with this squad boasting the youngest average squad age in the Premier League era."
Man Utd make worst Premier League start after stale Chelsea draw,It speaks volumes about the quick progress of Maresca that they are already in these conversations.
Why Salah is still the king of the penalty box,"""He has been playing very well all the season,"" said Bournemouth boss Andoni Iraola of Semenyo afterwards."
Why Salah is still the king of the penalty box,"""I think we demand him a lot because I think he can give a lot, and today probably he scores and everyone gives him more recognition."""
Why Salah is still the king of the penalty box,"It is almost three years since a player - Adama Traore, predictably - completed six dribbles in a Premier League game against City."
Why Salah is still the king of the penalty box,Semenyo's showing coupled with the victory justified Iraola's surprise move to switch his winger to the left for this game.
Why Salah is still the king of the penalty box,The decision was not made to target Walker.
Why Salah is still the king of the penalty box,"""It was more defensive minded because we decided the job defensively that the right winger had to do was more difficult."""
Why Salah is still the king of the penalty box,"While Marcus Tavernier focused on that, Semenyo was free to cause problems for City."
Why Salah is still the king of the penalty box,Not that his own defensive work is unimpressive.
Why Salah is still the king of the penalty box,Semenyo actually ranks third in the Premier League for possessions won in the attacking third of the pitch.
Why Salah is still the king of the penalty box,"As for shots taken, only Erling Haaland has more of them than the Ghanaian so far this season."
Why Salah is still the king of the penalty box,"While a third of those shots have been from outside the box, the only wide forward with a higher expected-goals total than Semenyo this season is Mohamed Salah."
Why Salah is still the king of the penalty box,"In this form, perhaps it is no surprise that Liverpool have been linked with a move for him."
Why Salah is still the king of the penalty box,"Of course, Salah himself remains the master."
Why Salah is still the king of the penalty box,He curled in a beautiful goal of his own towin the game for Liverpool against Brightonat Anfield.
Why Salah is still the king of the penalty box,"Now 32, Salah retains that rare and remarkable ability to find time and space in the opposition penalty area."
Why Salah is still the king of the penalty box,Salah is a fine finisher when in form and is outperforming his expected-goals total this season.
Why Salah is still the king of the penalty box,"But when trying to explain what makes him special, this is not it."
Why Salah is still the king of the penalty box,Salah's last 130 Premier League goals have been scored from an expected-goals figure of 129.86.
Why Salah is still the king of the penalty box,"Since signing for Liverpool in the summer of 2017, Salah has had 2261 touches of the ball in the opposition penalty box, which is almost twice as many as any other player except Raheem Sterling - and it is over 600 more touches than him."
Why Salah is still the king of the penalty box,It is astonishing.
Why Salah is still the king of the penalty box,"Ballon d'Or winner Rodri may have the most touches of anyone on the pitch but in the box, it is Salah who is still king."
Why Salah is still the king of the penalty box,"If he can continue to defy the ageing process and find ways of creating space for himself in there, expect the magic moments to keep coming."
Why Salah is still the king of the penalty box,"Chelsea's draw at Manchester Unitedwas a scrappy affair short on quality, although Moises Caicedo did come out of it with the player of the match award and his reputation enhanced."
Why Salah is still the king of the penalty box,It was his volley low into the corner of the net that earned Chelsea a point.
Why Salah is still the king of the penalty box,"There were times last season when Caicedo appeared burdened by that £115m fee that Brighton were paid for his services, seemingly dragged down by the malaise at Stamford Bridge."
Why Salah is still the king of the penalty box,One year on and we are starting to see the talent that sparked the transfer.
Why Salah is still the king of the penalty box,"""Players are human beings,"" said Chelsea boss Enzo Maresca."
Why Salah is still the king of the penalty box,"""It is normal to have little ups and downs."
Why Salah is still the king of the penalty box,"Since we arrived, Moi is improving a lot."
Why Salah is still the king of the penalty box,"We are trying to spend time with him, and all the rest also, to try and improve them."
Why Salah is still the king of the penalty box,Moi is showing how good he is.
Why Salah is still the king of the penalty box,"""Most of the time in football, one plus one is not two."
Why Salah is still the king of the penalty box,"Because he was so good at Brighton, that does not mean that when he joins Chelsea he is automatically going to be as good as he was at Brighton."
Why Salah is still the king of the penalty box,"He needs a little bit more time to adapt."""
Why Salah is still the king of the penalty box,"Caicedo, who turned 23 on Saturday, now leads the Premier League for tackles made this season."
Why Salah is still the king of the penalty box,"He also ranks in the top 10 for interceptions, possession won in the middle third of the pitch and possession won in the final third of the pitch for that matter."
Why Salah is still the king of the penalty box,"With confidence, his work on the ball is becoming tidier."
Why Salah is still the king of the penalty box,"Early in his Chelsea career, he was targeted in the build-up."
Why Salah is still the king of the penalty box,"Now, Maresca is trusting him in that role, collecting the ball from defenders."
Why Salah is still the king of the penalty box,"Belatedly, he is becoming the player they thought they had signed."
Why Salah is still the king of the penalty box,"GW1: Salah's sprints, Saka's one-on-ones, Mount's pressingGW2: Calvert-Lewin's runs, Odegaard's pressing, Pereira's cornersGW3: De Bruyne's position, Gravenberch's runs, Dawson's returnGW4: Nuno's masterclass, Duran's strike rate, Nketiah's shootingGW5: Diaz's finishing, Traore's end product, Archer's issuesGW6: McNeil's role, Kulusevski's creativity, Gravenberch's carryingGW7: Saka's creativity, Kovacic's shooting, Mitoma's return to formGW8: Rashford's form, Buonanotte's tackling, Gvardiol's passingGW9: Palmer's positioning, Iwobi's passing, Savinho's box entries"
'Amorim-ball' analysed - and how Man Utd could line up,"Erik ten Hag's inability to implement a discernible style of play atManchester Unitedwas one of his biggest problems, so it is hardly surprising that, in Ruben Amorim, the club have chosen a manager with a clear identity as the Dutchman's successor."
'Amorim-ball' analysed - and how Man Utd could line up,"Across a four-year spell at Sporting, during which he has won two Portuguese league titles and two league cups - having previously won the league cup with Braga - the 39-year-old put a stamp on the side which has remained consistent despite player turnover."
'Amorim-ball' analysed - and how Man Utd could line up,"Amorim's Sporting are characterised by a short-passing possession game, a three-at-the-back set-up and an aggressive pressing system facilitated by a high defensive line."
'Amorim-ball' analysed - and how Man Utd could line up,"But as he prepares to take the reins at Old Trafford on November 11, with his first game to be the trip to Ipswich after the international break, how will his methods translate at Manchester United?"
'Amorim-ball' analysed - and how Man Utd could line up,It appears unlikely that Amorim will deviate from a back three given he has deployed the system in all 188 league and European games at Sporting.
'Amorim-ball' analysed - and how Man Utd could line up,"According to Opta, his most common starting formation is 3-4-2-1, ahead of 3-4-3, with 3-5-2 the only other used."
'Amorim-ball' analysed - and how Man Utd could line up,It will take some getting used to for his new players.
'Amorim-ball' analysed - and how Man Utd could line up,"Under Ten Hag, Manchester United started almost 90 per cent of league and European games in a 4-2-3-1 shape."
'Amorim-ball' analysed - and how Man Utd could line up,"They did not start a single game in those competitions using a back three, according to Opta."
'Amorim-ball' analysed - and how Man Utd could line up,"Matthijs de Ligt is the most likely option to line up in the centre of Amorim's back three at United, given the importance of leadership and experience in that role, although Harry Maguire would be another option having played there for England."
'Amorim-ball' analysed - and how Man Utd could line up,"The wide centre-back positions, meanwhile, look better-suited to Leny Yoro, who has the youthful energy to cover the space behind a wing-back, and the versatile Lisandro Martinez."
'Amorim-ball' analysed - and how Man Utd could line up,"Yoro remains untested in the Premier League, of course, having suffered a foot injury in pre-season."
'Amorim-ball' analysed - and how Man Utd could line up,But his potential is not in doubt and the added security of playing alongside two central defenders rather than one could help him bed in when he returns to fitness.
'Amorim-ball' analysed - and how Man Utd could line up,"The strength in numbers could benefit Martinez, too."
'Amorim-ball' analysed - and how Man Utd could line up,"Athough one of United's better players under Ten Hag, he has struggled at times in a two."
'Amorim-ball' analysed - and how Man Utd could line up,"On the left of a three, he could replicate the crucial role of Goncalo Inacio, who occupies the same position at Sporting."
'Amorim-ball' analysed - and how Man Utd could line up,"Like Martinez, Inacio is a distinguished passer."
'Amorim-ball' analysed - and how Man Utd could line up,"""There's no doubt he is the best on the ball, so they try and build up through him,"" Carragher said of Inacio."
'Amorim-ball' analysed - and how Man Utd could line up,His average of 95.9 passes per 90 minutes this season is in fact the highest in the Portuguese league.
'Amorim-ball' analysed - and how Man Utd could line up,Inacio was asked to thread passes forward to Sporting's midfielders and forwards wherever possible and Amorim will doubtless demand similar of Martinez.
'Amorim-ball' analysed - and how Man Utd could line up,"According to Second Spectrum tracking data for this season, his total of 746 defenders bypassed is 54 per cent higher than any other United player's."
'Amorim-ball' analysed - and how Man Utd could line up,"He is, in other words, already fulfilling a similar task, something which is unlikely to have gone unnoticed by Amorim as he draws up his plans for his defence in and out of possession."
'Amorim-ball' analysed - and how Man Utd could line up,"Amorim's back three becomes a back five when defending but his wing-backs are primarily attacking weapons, responsible for providing width and contributing goals and assists."
'Amorim-ball' analysed - and how Man Utd could line up,"Ten Hag sought to use his full-backs similarly, asking them to push high up in possession, but the approach was flawed, with his two centre-backs unable to cover the space behind them and United's opponents repeatedly taking advantage from turnovers."
'Amorim-ball' analysed - and how Man Utd could line up,"With better cover, the same players would be able to focus on their attacking responsibilities without as much fear of being exposed at the other end."
'Amorim-ball' analysed - and how Man Utd could line up,Noussair Mazraoui and Diogo Dalot are natural full-backs rather than wing-backs but they are certainly capable in the final third and the same goes for the injured Luke Shaw.
'Amorim-ball' analysed - and how Man Utd could line up,"Carragher, though, sees it as a potential problem area for Amorim at United."
'Amorim-ball' analysed - and how Man Utd could line up,"""They are well covered at centre-back but you do scratch your head and think, 'What is he going to do wing-back-wise?'"
'Amorim-ball' analysed - and how Man Utd could line up,"Because it is a specialist position."""
'Amorim-ball' analysed - and how Man Utd could line up,"Amorim does at least have experience of helping a long line of players thrive there at Sporting, including Pedro Porro, whose 13 goals and 14 assists in two-and-a-half seasons in Lisbon earned him his £39.7m move to Tottenham."
'Amorim-ball' analysed - and how Man Utd could line up,"More recently, Nuno Santos has been even more effective, contributing four goals and 10 assists in 32 league games last season playing almost exclusively as a left wing-back."
'Amorim-ball' analysed - and how Man Utd could line up,"Santos, like others to have been used in the position by Amorim, is a natural winger, which raises the possibility, however unlikely it may seem, of a more attacking wide player, such as Alejandro Garnacho, Amad Diallo or even Antony being redeployed in the position."
'Amorim-ball' analysed - and how Man Utd could line up,"Carragher did, however, insist that Amorim will need to consider the quality of United's opponents."
'Amorim-ball' analysed - and how Man Utd could line up,"""That is talking about Manchester United dominating the ball, maybe being at Old Trafford."
'Amorim-ball' analysed - and how Man Utd could line up,"But when you actually look at the fixture list, with Arsenal away coming up, that will be an interesting decision."
'Amorim-ball' analysed - and how Man Utd could line up,"""If he's got Garnacho in the left wing-back position and he starts well, but you're playing against [Bukayo] Saka, and Arsenal are dominating and on the front foot, and he's being asked to play as a left full-back..."""
'Amorim-ball' analysed - and how Man Utd could line up,"""Is he going to ask Garnacho to come back in defence as well?"
'Amorim-ball' analysed - and how Man Utd could line up,He is an attacking player.
'Amorim-ball' analysed - and how Man Utd could line up,I'm pretty sure he would hate defending and going back because he would waste his energy.
'Amorim-ball' analysed - and how Man Utd could line up,"Then, when he goes up, he's going to be tired."""
'Amorim-ball' analysed - and how Man Utd could line up,"Carragher added: ""Is that what makes this system difficult?"
'Amorim-ball' analysed - and how Man Utd could line up,"You have to have specialists in the wing-back positions and there are not many of them about at United."""
'Amorim-ball' analysed - and how Man Utd could line up,"Manuel Ugarte shone under Amorim at Sporting, making the jump from squad player to key figure over the course of two seasons before his £50m move to Paris Saint-Germain."
'Amorim-ball' analysed - and how Man Utd could line up,"After an awkward start at United, the familiarity of his former boss should help."
'Amorim-ball' analysed - and how Man Utd could line up,"Ugarte still needs to adapt to the demands of the Premier League, of course."
'Amorim-ball' analysed - and how Man Utd could line up,But Amorim knows how to get the best out of him.
'Amorim-ball' analysed - and how Man Utd could line up,He did that at Sporting by allowing him to play to his strengths.
'Amorim-ball' analysed - and how Man Utd could line up,"While others, such as Inacio, were asked to focus on progressing the ball, Ugarte was left to focus on winning it back."
'Amorim-ball' analysed - and how Man Utd could line up,The Uruguayan ranked sixth among Sporting players for passes per 90 minutes in the 202223 season but the volume of his defensive work was impressive.
'Amorim-ball' analysed - and how Man Utd could line up,His total of 121 tackles was the highest in Portugal and the fourth-highest across Europe's major leagues.
'Amorim-ball' analysed - and how Man Utd could line up,His ball-winning ability was used as a means of protecting Sporting's defence.
'Amorim-ball' analysed - and how Man Utd could line up,But it was also harnessed further forward.
'Amorim-ball' analysed - and how Man Utd could line up,"""When I've seen Sporting Lisbon play, these two central midfield players don't just sit and not move,"" said Carragher."
'Amorim-ball' analysed - and how Man Utd could line up,"""In terms of pressing, they will sometimes push right up and be really aggressive on the opposition's central midfielders."
'Amorim-ball' analysed - and how Man Utd could line up,"It will be about energy there."""
'Amorim-ball' analysed - and how Man Utd could line up,"Indeed, while ostensibly a defensive midfielder, Ugarte was key to Sporting's high-press, winning possession in the final third 23 times in 202223, the highest total by any player in the division."
'Amorim-ball' analysed - and how Man Utd could line up,"His understanding of Amorim's off-the-ball approach could be helpful to the new boss and the hope for United is that his tigerish qualities will work well alongside the ball-playing ability of someone like Kobbie Mainoo, another player Amorim - a manager with a track record for nurturing young talent - will aim to develop."
'Amorim-ball' analysed - and how Man Utd could line up,"There are of course other midfield options for Amorim to consider, including Mason Mount, Christian Eriksen and Casemiro."
'Amorim-ball' analysed - and how Man Utd could line up,He could even deploy Bruno Fernandes in a deeper role.
'Amorim-ball' analysed - and how Man Utd could line up,But Amorim generally prefers more defensively-minded players in his midfield two.
'Amorim-ball' analysed - and how Man Utd could line up,"The 30-year-old, whose move from Sporting to United came a few weeks before Amorim's appointment at the club in March 2020, appears more likely to be used in support of the striker."
'Amorim-ball' analysed - and how Man Utd could line up,It is of course in those areas that Fernandes is most effective.
'Amorim-ball' analysed - and how Man Utd could line up,Amorim's use of Pedro Goncalves in a similar role at Sporting is a possible clue as to how he might be used.
'Amorim-ball' analysed - and how Man Utd could line up,"Encouraged to drift infield from the left flank, Goncalves, known as Pote, has racked up outstanding numbers under Amorim, scoring 81 goals and providing 56 assists in 187 games in all competitions."
'Amorim-ball' analysed - and how Man Utd could line up,"Marcus Rashford's preference for cutting inside from the left may mean Fernandes is used off the opposite flank, but he would still have access to the central zones from which he is so dangerous."
'Amorim-ball' analysed - and how Man Utd could line up,It is only in the last two seasons at Sporting that Amorim has had the luxury of a truly prolific out-and-out striker.
'Amorim-ball' analysed - and how Man Utd could line up,"Before the arrival of Viktor Gyokeres, scorer of 59 goals in 65 games for the club, his top scorers were wide players Goncalves and Pablo Sarabia."
'Amorim-ball' analysed - and how Man Utd could line up,"But his success with Gyokeres still offers hope that he could get more from United's frontmen, particularly the £72m Rasmus Hojlund, who has scored only 18 times in 52 games in all competitions since his arrival at Old Trafford from Atalanta last year."
'Amorim-ball' analysed - and how Man Utd could line up,"Hojlund, although quick, has not demonstrated the same power and ball-carrying ability as Gyokeres, whose directness has given Sporting a new dimension."
'Amorim-ball' analysed - and how Man Utd could line up,But he would certainly benefit from the kind of service the Sweden international has received under Amorim.
'Amorim-ball' analysed - and how Man Utd could line up,Comparing their output over the last two seasons highlights the difference on that front.
'Amorim-ball' analysed - and how Man Utd could line up,"While Gyokeres has averaged nearly four shots per 90 minutes in Portugal, Hojlund's average is way down at only 1.6 per 90 minutes at United."
'Amorim-ball' analysed - and how Man Utd could line up,"It is hardly surprising, then, that his goal total is far lower."
'Amorim-ball' analysed - and how Man Utd could line up,Shot volume is key for strikers.
'Amorim-ball' analysed - and how Man Utd could line up,Hojlund's isolation under Erik ten Hag was not just limited to his shots.
'Amorim-ball' analysed - and how Man Utd could line up,He has averaged only 28.4 touches per 90 minutes at United compared to Gyokeres' 44.6 per 90 minutes at Sporting.
'Amorim-ball' analysed - and how Man Utd could line up,Gyokeres gets more than twice as many touches in the opposition box.
'Amorim-ball' analysed - and how Man Utd could line up,"Gyokeres is helped, in part, by the proximity of Sporting's wide players, who are better able to link up with him thanks to their tucked-inside positioning."
'Amorim-ball' analysed - and how Man Utd could line up,"By asking the same of his wide players at United, Amorim would hope to increase Hojlund's overall involvement and, in turn, his scoring output."
'Amorim-ball' analysed - and how Man Utd could line up,It is just one of many areas of tactical intrigue ahead of Amorim's eagerly-anticipated arrival.
Former Chelsea defender John Dempsey dies aged 78,Centre-back Dempsey was part of the Blues sides that won the FA Cup in 1970 and the European Cup Winners' Cup a year later.
Former Chelsea defender John Dempsey dies aged 78,The latter triumph included him volleying the opener in the final replay as Dave Sexton's men defeated Real Madrid 2-1 in Piraeus.
Former Chelsea defender John Dempsey dies aged 78,"Chelsea's tribute to Dempsey on their website included his recollection of that goal, saying: ""It was a corner taken by Charlie Cooke and the goalkeeper punched it."
Former Chelsea defender John Dempsey dies aged 78,"""It was about 12 to 15 yards out and I hit it on the volley and nine times out of 10 it would have gone anywhere, but thank God it went into the roof of the net and it was a fantastic feeling."
Former Chelsea defender John Dempsey dies aged 78,"The groundsman said to me it was the best goal he had ever seen on that pitch."""
Former Chelsea defender John Dempsey dies aged 78,"That was one of seven goals Dempsey, who was brought up in Kilburn, scored in 207 appearances for Chelsea after joining during 1968-69 in a £70,000 move from Fulham."
Former Chelsea defender John Dempsey dies aged 78,"The following season he tasted FA Cup glory, with Leeds beaten 2-1 after extra time in a replay at Old Trafford after a 2-2 draw in the initial contest at Wembley."
Former Chelsea defender John Dempsey dies aged 78,"That final saw him play alongside David Webb, Ron Harris and Eddie McCreadie in defence, with forward Peter Osgood saying of the quartet: ""We had the four assassins at the back."""
Former Chelsea defender John Dempsey dies aged 78,"After the European success that then came in 1971, Dempsey also helped Chelsea finish runners-up in the League Cup in 1972, and remained with the club until 1978, when he moved to the Philadelphia Fury."
Former Chelsea defender John Dempsey dies aged 78,"There he reunited with Osgood and would be voted the North American Soccer League's defender of the year, ahead of Franz Beckenbauer."
Former Chelsea defender John Dempsey dies aged 78,"Dempsey, who also won 19 caps for the Republic during his playing career, in later life worked as a carer in a centre for people with learning difficulties."
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,"Anderson, 22 on Wednesday, has been involved in every Forest game, winning the club's player of the month award for August, filling in where required and flourishing of late."
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,Twice in a week he covered Morgan Gibbs-White's absence in the No 10 role.
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,Twice Forest won.
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,"The performance against Crystal Palace, in particular, caught the eye."
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,"There was a spell early on in that game in which Anderson, once of the famous Wallsend Boys Club, seemed to channel Paul Gascoigne with his slaloming runs, all elbows and enterprise."
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,It was a reminder of why Newcastle fast-tracked him to a first-team debut at Arsenal aged just 18.
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,"Anderson is more than a mere hard-working player, there is something different about him."
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,He has the mentality and the quality.
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,Nuno Espirito Santo is thrilled.
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,"Newcastle felt compelled to sell a popular young player, one of their own, for financial reasons."
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,"""It did not sit comfortably with me but we had no choice,"" said Howe in July."
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,"With November upon us, that discomfort will not have gone away on the evidence of this form."
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,"Nuno, who has guided Forest to third in the Premier League, the biggest overperformers in the competition so far this season, is managing Anderson's workload."
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,"He is yet to play him for a full game, preferring to rotate his options."
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,But it is helping him to be dynamic.
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,"Anderson ranks among the top dozen players in the Premier League for assists, completed dribbles, successful attempts to put a team-mate through on goal and ground duels won per 90 minutes - a range of metrics hinting at the breadth of his skill-set."
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,"His opportunities have come out wide and in the middle, in a deeper role and more recently further forwards."
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,"Nuno is convinced that giving Anderson a variety of responsibilities, encouraging him to develop his versatility, will help to make him a better player."
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,"""Since pre-season, Elliot has been playing in different positions."
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,"He has been wide, he has played as a second midfielder and now he is playing in the role of the 10 and he is learning from this experience."""
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,"Not everyone would adjust so easily, Nuno concedes."
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,"""I believe there are players where maybe that can be a problem because you are changing their position."
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,But I believe that Elliot is a player who is able to start in different positions and still be able to play his own game.
'Amazing talent' Anderson impressing at Forest ahead of Newcastle reunion,"I think that makes him better."""
